Nome Arquivo; Caminho Arquivos; Termos Extraidos
125789564329_673806959;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789564329_673806959.pdf; Sem termos localizados
125789564930_673808294;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789564930_673808294.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789564949_673808318;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789564949_673808318.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789564957_673808339;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789564957_673808339.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789564965_673808363;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789564965_673808363.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789564973_673808381;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789564973_673808381.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789565015_673808428;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565015_673808428.pdf; Sem termos localizados
125789565422_673809161;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565422_673809161.pdf; Sem termos localizados
125789565430_673809182;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565430_673809182.pdf; Sem termos localizados
125789565449_673809196;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565449_673809196.pdf; Sem termos localizados
125789565473_673809252;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565473_673809252.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789565503_673809338;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565503_673809338.pdf; Sem termos localizados
125789565767_673810200;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565767_673810200.pdf; Sem termos localizados
125789565775_673810221;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565775_673810221.pdf; Sem termos localizados
125789565848_673810402;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565848_673810402.pdf; Sem termos localizados
125789565864_673810425;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565864_673810425.pdf; JAMAIS SOLICITOU TAL EMPRESTIMO, 
125789565902_673810621;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565902_673810621.pdf; Sem termos localizados
125789565953_673810931;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565953_673810931.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
